Имя,Категория,Гео,Статус
Гюнтер Яух,Потенция,Германия,Черный список
Дитер Болен,Потенция,Германия,Согласована
Доктор Марк Ульрих Бехер,Гипертония,Германия,Согласована
Доктор Фридрих Феликс Хойер,Гипертония,Германия,Согласована
Йоханнес Б. Кернер,Потенция,Германия,Черный список
Мишель Хунцикер,Красота/омоложение,Германия,Согласована
Николь Йегер,Похудение,Германия,Согласована
Профессор Вернер Шербаум,Диабет,Германия,Согласована
Профессор Еллен Хоффманн,Гипертония,Германия,Согласована
Профессор Кристоф Клоттер,Похудение,Германия,Согласована
Профессор Маркус Бюхлер,Гипертония,Германия,Согласована
Профессор Томас Куршайд (Prof. Dr. Thomas Kurscheid,Похудение,Германия,Согласована
Профессор Томас Куршайд,Гипертония,Германия,Согласована
Профессор Томас Куршайд,Диабет,Германия,Согласована
Профессор Херберт Шункерт,Гипертония,Германия,Согласована
Профессор Штефан Мартин,Диабет,Германия,Согласована
София Тиль,Похудение,Германия,Согласована
Тиль Швайгер,Потенция,Германия,Согласована
Томас Готтшальк,Потенция,Германия,Согласована
Хайно,Потенция,Германия,Согласована
Хельмут Бергер,Потенция,Германия,Согласована
Юдит Ракерс,Красота/омоложение,Германия,Согласована
Arzt Christian Drosten,Гипертония,Германия,Согласована
Barbara Schöneberger,суставы,Германия,Согласована
Barbara Schöneberger,паразиты,Германия,Согласована
Barbara Schöneberger,слух,Германия,Согласована
Barbara Schöneberger,Слух,Германия,Согласована
Barbara Schöneberger,Вальгус,Германия,Согласована
Christoph Waltz,суставы,Германия,Согласована
Christoph Waltz,паразиты,Германия,Согласована
Christoph Waltz,слух,Германия,Согласована
Christoph Waltz,простатит,Германия,Согласована
Christoph Waltz,Слух,Германия,Согласована
Dieter Hallervorden,Гипертония,Германия,Согласована
Dr. Dietrich Grönemeyer,суставы,Германия,Согласована
Dr. Eckart von Hirschhausen,Паразиты,Германия,Черный список
Dr. Eckart von Hirschhausen,Суставы ,Германия,Черный список
Dr. Eckart von Hirschhausen,Слух,Германия,Черный список
Dr. Eckart von Hirschhausen .,Вальгус,Германия,Черный список
Dr. Franziska Rubin,суставы,Германия,Согласована
Dr. Franziska Rubin,паразиты,Германия,Согласована
Dr. Franziska Rubin,слух,Германия,Согласована
Dr. Franziska Rubin,простатит,Германия,Согласована
Dr. Franziska Rubin,Слух,Германия,Согласована
Dr. Franziska Rubin,Вальгус,Германия,Согласована
Dr. Franziska Rubin,Вальгус,Германия,Согласована
Dr. Johannes Huber,простатит,Германия,Согласована
Dr. Johannes Wimmer,Паразиты,Германия,Согласована
Dr. Johannes Wimmer,Суставы ,Германия,Согласована
Dr. Johannes Wimmer,Гипертония,Германия,Согласована
Dr. Johannes Wimmer,Слух,Германия,Согласована
Dr. Johannes Wimmer,Вальгус,Германия,Согласована
Dr. Johannes Wimmer,Потенция,Германия,Согласована
Dr. Johannes Wimmer,слух,Германия,Согласована
Dr. Johannes Wimmer,простатит,Германия,Согласована
Dr. Tobias Weigl,Паразиты,Германия,Согласована
Dr. Tobias Weigl,Суставы ,Германия,Согласована
Dr. Tobias Weigl,Слух,Германия,Согласована
Dr. Tobias Weigl,Вальгус,Германия,Согласована
Dr. Tobias Weigl,слух,Германия,Согласована
Dr. Tobias Weigl,простатит,Германия,Согласована
Dr. Yael Adler,Потенция,Германия,Согласована
Eckart Hirschhausen,Гипертония,Германия,Черный список
Eckart von Hirschhausen,Потенция,Германия,Черный список
Elmar Wepper,Паразиты,Германия,Согласована
Elmar Wepper,Слух,Германия,Согласована
Franz Beckenbauer,Паразиты,Германия,Согласована
Franz Beckenbauer,Слух,Германия,Согласована
Günter Netzer,Паразиты,Германия,Согласована
Günter Netzer,Суставы ,Германия,Согласована
Günter Netzer,слух,Германия,Согласована
Günter Netzer,простатит,Германия,Согласована
Günter Netzer,Слух,Германия,Согласована
Günther Jauch,Паразиты,Германия,Черный список
Günther Jauch,Простатит,Германия,Черный список
Günther Jauch,Слух,Германия,Черный список
Günther Jauch,Суставы,Германия,Черный список
Hans Zimmer,суставы,Германия,Согласована
Hans Zimmer,паразиты,Германия,Согласована
Hans Zimmer,слух,Германия,Согласована
Hans Zimmer,простатит,Германия,Согласована
Hans Zimmer,Слух,Германия,Согласована
Harald Lesch,Суставы,Германия,Черный список
Harald Lesch,Паразиты,Германия,Черный список
Harald Lesch,Простатит,Германия,Черный список
Harald Lesch,Слух,Германия,Черный список
Herbert Grönemeyer,суставы,Германия,Согласована
Herbert Grönemeyer,паразиты,Германия,Согласована
Herbert Grönemeyer,слух,Германия,Согласована
Herbert Grönemeyer,простатит,Германия,Согласована
Herbert Grönemeyer,Слух,Германия,Согласована
Joseph Eberhardt,Похудение,Германия,Согласована
Jürgen Drews,Гипертония,Германия,Черный список
Jürgen Vogel,Суставы,Германия,Согласована
Jürgen Vogel,Паразиты,Германия,Согласована
Jürgen Vogel,Простатит,Германия,Согласована
Jürgen Vogel,Слух,Германия,Согласована
Leon Dănăilă,Потенция,Германия,Черный список
Maria Furtwängler,Паразиты,Германия,Черный список
Maria Furtwängler,Суставы ,Германия,Черный список
Maria Furtwängler,Слух,Германия,Черный список
Maria Furtwängler,Вальгус,Германия,Черный список
Markus Büchler,Гипертония,Германия,Согласована
Michael Schumacher,Суставы,Германия,Черный список
Michael Schumacher,Паразиты,Германия,Черный список
Michael Schumacher,Простатит,Германия,Черный список
Michael Schumacher,Слух,Германия,Черный список
Michael Verhoeven *мертвая личность,Паразиты,Германия,Согласована
Michael Verhoeven *мертвая личность,Слух,Германия,Согласована
Michael Verhoeven *мертвая личность,Гипертония,Германия,Согласована
Nena,суставы,Германия,Согласована
Nena,паразиты,Германия,Согласована
Nena,слух,Германия,Согласована
Nena,Слух,Германия,Согласована
Nena,Вальгус,Германия,Согласована
Peter Maffay,суставы,Германия,Согласована
Peter Maffay,паразиты,Германия,Согласована
Peter Maffay,слух,Германия,Согласована
Peter Maffay,простатит,Германия,Согласована
Peter Maffay,Слух,Германия,Согласована
Prof. Dr. Martin Halle,Гипертония,Германия,Согласована
Prof. Dr. med. Horst Sievert,Гипертония,Германия,Согласована
Prof. Dr. med. Rolf Wachter,Гипертония,Германия,Согласована
Sophia Kerner,Похудение,Германия,Согласована
Thomas Gottschalk,Суставы,Германия,Согласована
Thomas Gottschalk,паразиты,Германия,Согласована
Thomas Gottschalk,слух,Германия,Согласована
Thomas Gottschalk,простатит,Германия,Согласована
Thomas Gottschalk,Гипертония,Германия,Согласована
Til Schweiger,суставы,Германия,Согласована
Til Schweiger,паразиты,Германия,Согласована
Til Schweiger,слух,Германия,Согласована
Til Schweiger,простатит,Германия,Согласована
Til Schweiger,Суставы,Германия,Согласована
Til Schweiger,Паразиты,Германия,Согласована
Til Schweiger,Простатит,Германия,Согласована
Til Schweiger,Слух,Германия,Согласована
Til Schweiger,Слух,Германия,Согласована
Till Lindemann,Паразиты,Германия,Согласована
Till Lindemann,Суставы ,Германия,Согласована
Till Lindemann,слух,Германия,Согласована
Till Lindemann,простатит,Германия,Согласована
Till Lindemann,Слух,Германия,Согласована
Tobias Weigl,Потенция,Германия,Согласована
Udo Lindenberg,Паразиты,Германия,Согласована
Udo Lindenberg,Суставы ,Германия,Согласована
Udo Lindenberg,слух,Германия,Согласована
Udo Lindenberg,простатит,Германия,Согласована
Udo Lindenberg,Слух,Германия,Согласована
Dr. Alojz Ihan,Суставы,Словения,Согласована
Dr. France Cukjati,Суставы,Словения,Черный список
Mario Fafangel,Суставы,Словения,Согласована
Фанни Родригеш,Похудение,Португалия,Согласована
Joaquim de Almeida,Потенция,Португалия,Согласована
José Mourinho,Потенция,Португалия,Черный список
Dulce Pontes,Варикоз,Португалия,Черный список
Rui Veloso,Потенция,Португалия,Черный список
José Cid,Потенция,Португалия,Черный список
Joaquim de Almeida,Потенция,Португалия,Согласована
Manuel Luís Goucha,Потенция,Португалия,Черный список
Dr. João Ramos,Паразиты,Португалия,Черный список
Dr. Gustavo Carona,Паразиты,Португалия,Согласована
Dr. Ricardo Mexia,Паразиты,Португалия,Черный список
Dr. Graça Freitas,Паразиты,Португалия,Согласована
Жужа Конц,Суставы,Венгрия,Согласована
Эва Чепреги,Суставы,Венгрия,Согласована
Bertalan Meskó,Суставы,Венгрия,Согласована
Dr László Czakó,Суставы,Венгрия,Согласована
Dr Beatrix Oroszi,Суставы,Венгрия,Согласована
Bertalan Meskó,Паразиты,Венгрия,Согласована
Dr László Czakó,Паразиты,Венгрия,Согласована
Dr Beatrix Oroszi,Паразиты,Венгрия,Согласована
András Kulja,Паразиты,Венгрия,Черный список
István Kormendi,Паразиты,Венгрия,Согласована
Dr. Péter Álmos,Паразиты,Венгрия,Согласована
András Kulja,Суставы,Венгрия,Черный список
István Kormendi,Суставы,Венгрия,Согласована
Dr. Péter Álmos,Суставы,Венгрия,Согласована
Адам Малыш,Паразиты,Польша,Согласована
Роберт Левандовский,Паразиты,Польша,Черный список
Марек Кондрат,Паразиты,Польша,Согласована
Eckart von Hirschhausen,Грибок,Польша,Черный список
Maryli Rodowicz,Цистит,Польша,Черный список
Daniel Marcel Olbrychski,Потенция,Польша,Согласована
Janusz Jerzy Gajos,Потенция,Польша,Согласована
bohdan łazuka,Потенция,Польша,Черный список
Krystyna Janda,Цистит,Польша,Согласована
Piotr Ponikowski,Гипертония,Польша,Согласована
Tomasz Guzik,Гипертония,Польша,Согласована
Ewa Drzyzga,Гипертония,Польша,Черный список
Марчин Прокоп,Гипертония,Польша,Черный список
Мариан Опаня,Гипертония,Польша,Согласована
Krzysztof Gojdź,Суставы,Польша,Согласована
Marek Szczyt,Суставы,Польша,Согласована
Zenon Mariak,Суставы,Польша,Согласована
Piotr Radziszewski,Потенция,Польша,Черный список
Krzysztof Gojdź,Паразиты,Польша,Согласована
Marek Szczyt,Паразиты,Польша,Согласована
Zenon Mariak,Паразиты,Польша,Согласована
dr Michał Szczerba,Паразиты,Польша,Черный список
dr Anna Popławska,Паразиты,Польша,Согласована
Теофило Кубильяс,простатит,Перу,Согласована
Гастон Акурио,простатит,Перу,Черный список
Pedro Cavadas,Потенция,Испания,Согласована
Ana Torrent,Цистит,Испания,Согласована
Ana Belén,Цистит,Испания,Согласована
Doctor Bueno,Потенция,Испания,Согласована
